,Species: DM,,,,
,Date Collected,Plot,Sex,Weight,Calibrated
,7/16/2013,7,M,33,Y
,7/18/2013,3,M,40,Y
,7/18/2013,7,M,48,Y
,7/18/2013,4,F,29,Y
,7/18/2013,4,F,46,Y
,7/18/2013,7,M,36,Y
,7/18/2013,7,F,35,Y
,7/18/2013,8,F,22,Y
,7/18/2013,7,F,42,Y
,7/18/2013,4,F,41,Y
,7/18/2013,6,F,37,Y
,1/9/2014,1,M,40,Y
,1/9/2014,1,F,36,Y
,1/20/2014,1,F,39,Y
,1/20/2014,1,M,43,Y
,3/13/2014,1,F,51,Y
,3/13/2014,1,F,44,Y
,1/8/2014,2,M,44,Y
,1/8/2014,2,M,38,Y
,1/8/2014,2,M,38,Y
,1/8/2014,2,M,48,Y
,1/8/2014,2,M,43,Y
,1/8/2014,2,F,35,Y
,1/8/2014,2,M,43,Y
,1/8/2014,2,F,37,Y
,1/8/2014,2,M,45,Y
,2/18/2014,2,M,52,Y
DO,8/19/2013,8,F,52,Y
DO,10/17/2013,3,F,33,Y
DO,10/17/2013,3,F,50,Y
DO,10/17/2013,17,F,48,Y
DO,10/17/2013,17,F,31,Y
DO,10/18/2013,8,F,41,Y
DO,11/12/2013,1,F,44,Y
DO,11/12/2013,1,M,48,Y
DO,11/14/2013,8,F,39,Y
DO,12/10/2013,9,F,40,Y
DO,12/10/2013,1,M,45,Y
DO,12/11/2013,8,F,41,Y
DS,11/12/2013,9,F,117,Y
,11/12/2013,1,F,121,Y
,11/12/2013,20,M,115,Y
,11/12/2013,9,F,120,Y
,11/13/2013,17,F,118,Y
,11/13/2013,11,F,126,Y
,11/13/2013,11,F,122,Y
,11/13/2013,4,F,107,Y
,11/13/2013,4,F,115,Y
,1/9/2014,1,F,135,Y
,1/20/2014,1,F,144,Y
,3/13/2014,1,F,146,Y
,11/13/2013,17,M,132,N
,11/13/2013,14,F,113,N
PE,1/8/2014,2,M,22,Y
PF,1/8/2014,3,F,7,Y
,2/18/2014,3,F,7,Y
,1/8/2015,3,M,7,Y
,3/11/2015,3,M,8,Y
NA,3/11/2015,3,M,232,Y
,5/18/2015,3,F,182,Y
,7/8/2015,3,F,115,Y
,7/8/2015,3,M,190,Y
OT,2/18/2015,3,M,24,Y
,2/18/2015,3,F,23,Y
,3/11/2015,3,F,22,Y
,3/11/2015,3,M,26,Y
,6/9/2015,3,F,29,Y
